path,owner,bytes,physical_lines,code_lines,classification,is_rust,embedded_test_lines
crates/arcweft-bundle/src/resource_codec/product_catalog.rs,arcweft-bundle,17115,511,457,production,true,0
crates/arcweft-bundle/src/resource_codec/runtime.rs,arcweft-bundle,94007,2633,2450,production,true,199
crates/arcweft-bundle/src/resource_codec/source_map/codec.rs,arcweft-bundle,12356,306,295,production,true,0
crates/arcweft-bundle/src/resource_codec/source_map/error.rs,arcweft-bundle,3494,93,88,production,true,0
crates/arcweft-bundle/src/resource_codec/source_map/model.rs,arcweft-bundle,12309,337,289,production,true,38
crates/arcweft-bundle/src/resource_codec/source_map.rs,arcweft-bundle,361,11,8,production,true,0
crates/arcweft-bundle/src/resource_codec/table.rs,arcweft-bundle,10443,345,294,production,true,0
crates/arcweft-bundle/src/resource_codec/types.rs,arcweft-bundle,4066,141,115,production,true,0
crates/arcweft-bundle/src/resource_codec/view/codec/part.rs,arcweft-bundle,5335,138,129,production,true,0
crates/arcweft-bundle/src/resource_codec/view/codec/style.rs,arcweft-bundle,20739,551,523,production,true,0
