"status","path","owning_crate","file_role","current_bytes","current_physical_lines","current_code_lines","embedded_test_lines","parent_physical_lines","physical_line_delta","structural_warnings"
"M","crates/arcweft-render-text/src/rich_effects.rs","arcweft-render-text","production responsibility module","10327","344","285","0","344","0",""
"M","crates/arcweft-render-text/src/rich_text.rs","arcweft-render-text","production responsibility module","5636","207","178","0","207","0",""
"M","crates/arcweft-render-text/tests/frame_resolution.rs","arcweft-render-text","integration test","13266","419","393","0","419","0",""
"M","crates/arcweft-render-text/tests/resolved_document.rs","arcweft-render-text","integration test","13600","434","401","0","434","0",""
"M","crates/arcweft-render-wgpu/src/geometry.rs","arcweft-render-wgpu","production responsibility module","69555","2100","1887","0","2105","-5","SIZE001"
"M","crates/arcweft-render-wgpu/src/geometry/action_buttons.rs","arcweft-render-wgpu","production responsibility module","10782","314","297","0","308","6",""
"M","crates/arcweft-render-wgpu/src/geometry/dialogue_prepared.rs","arcweft-render-wgpu","production responsibility module","27977","751","722","0","703","48",""
"M","crates/arcweft-render-wgpu/src/geometry/dialogue_prepared/tests.rs","arcweft-render-wgpu","test module","17728","498","470","0","490","8",""
"M","crates/arcweft-render-wgpu/src/geometry/dialogue_transform.rs","arcweft-render-wgpu","production responsibility module","2960","77","71","0","77","0",""
"M","crates/arcweft-runtime-driver/src/dialogue.rs","arcweft-runtime-driver","production responsibility module","12124","419","342","0","1006","-587",""
"A","crates/arcweft-runtime-driver/src/dialogue/store.rs","arcweft-runtime-driver","production responsibility module","20072","545","506","0","0","545",""
"M","crates/arcweft-runtime-driver/src/display.rs","arcweft-runtime-driver","production responsibility module","55101","1450","1332","696","1460","-10","SIZE001;TEST001"
"M","crates/arcweft-runtime-driver/src/presentation_handles.rs","arcweft-runtime-driver","production responsibility module","39446","1171","1081","327","1175","-4",""
"M","crates/arcweft-runtime-driver/src/session_save.rs","arcweft-runtime-driver","production responsibility module","11003","275","245","0","275","0",""
"M","crates/arcweft-runtime-driver/src/session.rs","arcweft-runtime-driver","production responsibility module","93251","2415","2242","0","2408","7","SIZE001"
"M","crates/arcweft-runtime-driver/src/view_projection.rs","arcweft-runtime-driver","production responsibility module","11531","333","315","0","325","8",""
"M","crates/arcweft-runtime-driver/src/view_runtime.rs","arcweft-runtime-driver","production responsibility module","35535","928","843","0","788","140",""
"M","crates/arcweft-runtime-driver/src/view_runtime/evaluator.rs","arcweft-runtime-driver","production responsibility module","53678","1333","1289","0","1210","123","SIZE001"
"M","crates/arcweft-runtime-driver/src/view_runtime/evaluator/text.rs","arcweft-runtime-driver","production responsibility module","12384","328","320","0","246","82",""
"A","crates/arcweft-runtime-driver/tests/dialogue_restore/mod.rs","arcweft-runtime-driver","integration test","4432","143","134","0","0","143",""
"A","crates/arcweft-runtime-driver/tests/dialogue_view_store.rs","arcweft-runtime-driver","integration test","8488","231","216","0","0","231",""
"M","crates/arcweft-runtime-driver/tests/session.rs","arcweft-runtime-driver","integration test","88673","2442","2279","0","2440","2",""
"D","crates/arcweft-runtime-driver/tests/textbox_store.rs","arcweft-runtime-driver","deleted","0","0","0","0","259","-259",""
"M","crates/arcweft-runtime-driver/tests/view_runtime.rs","arcweft-runtime-driver","integration test","33272","947","922","0","723","224",""
"M","crates/arcweft-runtime-host/src/presentation_dispatch.rs","arcweft-runtime-host","production responsibility module","36012","1066","958","516","1066","0",""
"M","crates/arcweft-runtime-plan/src/expr/tests.rs","arcweft-runtime-plan","test module","36127","1069","963","0","1069","0",""
"M","crates/arcweft-runtime-plan/src/flow.rs","arcweft-runtime-plan","production responsibility module","69900","1903","1783","0","1903","0","SIZE001"
